fiscalyear,school,from_full,to_full,trips,emissions
FY17-18,0,"Abidjan, CI","Brussels, BE",1,0.525076991
FY17-18,0,"Abidjan, CI","Nairobi, KE",1,0.469840338
FY17-18,0,"Abidjan, CI","Paris, FR",5,2.506198726
FY17-18,0,"Abu Dhabi, AE","Chicago, ILLINOIS, US",2,2.390300392
FY17-18,0,"Abu Dhabi, AE","Chittagong, BD",64,24.79862679
FY17-18,0,"Abu Dhabi, AE","Dammam, SA",25,1.086362555
FY17-18,0,"Abu Dhabi, AE","Dhaka, BD",1,0.292732425
FY17-18,0,"Abu Dhabi, AE","Entebbe, UG",8,2.340818574
FY17-18,0,"Abu Dhabi, AE","Frankfurt, DE",3,1.491389626
FY17-18,0,"Abu Dhabi, AE","Hong Kong, HK",3,1.842536918
FY17-18,0,"Abu Dhabi, AE","Lahore, PK",5,0.845020934
FY17-18,0,"Abu Dhabi, AE","London, GB",6,3.384231353
FY17-18,0,"Abu Dhabi, AE","Mumbai, IN",9,1.434388883
FY17-18,0,"Abu Dhabi, AE","Munich, DE",6,2.809178342
FY17-18,0,"Abu Dhabi, AE","Singapore, SG",1,0.601684968
FY17-18,0,"Abu Dhabi, AE","Washington, DISTRICT OF COLUMBIA, US",35,40.75429289
FY17-18,0,"Abuja, NG","Accra, GH",2,0.145975903
FY17-18,0,"Abuja, NG","Frankfurt, DE",7,3.265867097
FY17-18,0,"Abuja, NG","Istanbul, TR",1,0.425618137
FY17-18,0,"Abuja, NG","London, GB",2,0.976505112
FY17-18,0,"Abuja, NG","Paris, FR",20,9.14035088
FY17-18,0,"Accra, GH","Abuja, NG",2,0.145975903
FY17-18,0,"Accra, GH","Amsterdam, NL",12,6.395615299
FY17-18,0,"Accra, GH","Brussels, BE",2,1.033714502
FY17-18,0,"Accra, GH","Lome, TG",9,0.197437149
FY17-18,0,"Accra, GH","Monrovia, LR",16,1.461320266
FY17-18,0,"Accra, GH","Nairobi, KE",1,0.428412849
FY17-18,0,"Accra, GH","Paris, FR",5,2.470853844
FY17-18,0,"Accra, GH","Washington, DISTRICT OF COLUMBIA, US",2,1.741927301
FY17-18,0,"Addis Ababa, ET","Entebbe, UG",19,1.871275764
FY17-18,0,"Addis Ababa, ET","Frankfurt, DE",2,1.093882999
FY17-18,0,"Addis Ababa, ET","Goma, CD",2,0.257084121
FY17-18,0,"Addis Ababa, ET","Harare, ZW",2,0.503239564
FY17-18,0,"Addis Ababa, ET","Juba, SS",2,0.148057555
FY17-18,0,"Addis Ababa, ET","Kigali, RW",4,0.501678325
FY17-18,0,"Addis Ababa, ET","Lilongwe, MW",3,0.628789249
FY17-18,0,"Addis Ababa, ET","Lusaka, ZM",1,0.237308419
FY17-18,0,"Addis Ababa, ET","Maputo, MZ",5,2.013014326
FY17-18,0,"Addis Ababa, ET","Mumbai, IN",12,4.704979176
FY17-18,0,"Addis Ababa, ET","Nairobi, KE",4,0.376258744
FY17-18,0,"Addis Ababa, ET","Newark, NEW JERSEY, US",1,1.148133283
FY17-18,0,"Addis Ababa, ET","Paris, FR",1,0.570614351
FY17-18,0,"Addis Ababa, ET","Rome, IT",1,0.458168308
FY17-18,0,"Addis Ababa, ET","Washington, DISTRICT OF COLUMBIA, US",22,26.01120284
FY17-18,0,"Addis Ababa, ET","Zanzibar, TZ",6,0.82043141
FY17-18,0,"Ahmedabad, IN","Doha, QA",2,0.347115604
FY17-18,0,"Akron/Canton, OHIO, US","Charlotte, NORTH CAROLINA, US",1,0.051390804
FY17-18,0,"Akron/Canton, OHIO, US","Detroit, MICHIGAN, US",1,0.027787451
FY17-18,0,"Albany, GEORGIA, US","Atlanta, GEORGIA, US",1,0.030294589
FY17-18,0,"Albany, NEW YORK, US","Baltimore, MARYLAND, US",2,0.120342643
FY17-18,0,"Albany, NEW YORK, US","Chicago, ILLINOIS, US",1,0.093804479
FY17-18,0,"Albany, NEW YORK, US","Newark, NEW JERSEY, US",2,0.059753465
FY17-18,0,"Albany, NEW YORK, US","Orlando, FLORIDA, US",2,0.279722095
FY17-18,0,"Albany, NEW YORK, US","Philadelphia, PENNSYLVANIA, US",4,0.177171114
FY17-18,0,"Albany, NEW YORK, US","Washington, DISTRICT OF COLUMBIA, US",2,0.082745699
FY17-18,0,"Albuquerque, NEW MEXICO, US","Baltimore, MARYLAND, US",2,0.434024609
FY17-18,0,"Albuquerque, NEW MEXICO, US","Chicago, ILLINOIS, US",1,0.145325386
FY17-18,0,"Albuquerque, NEW MEXICO, US","Dallas, TEXAS, US",4,0.295594698
FY17-18,0,"Albuquerque, NEW MEXICO, US","Houston, TEXAS, US",1,0.098748405
FY17-18,0,"Albuquerque, NEW MEXICO, US","Phoenix, ARIZONA, US",1,0.042673882
FY17-18,0,"Algiers, DZ","Paris, FR",12,1.330176139
FY17-18,0,"Allentown/Bethlehem/Easton, PENNSYLVANIA, US","Detroit, MICHIGAN, US",1,0.055163799
FY17-18,0,"Amsterdam, NL","Accra, GH",6,3.19780765
FY17-18,0,"Amsterdam, NL","Atlanta, GEORGIA, US",18,13.00527263
FY17-18,0,"Amsterdam, NL","Bahrain, BH",1,0.488252556
FY17-18,0,"Amsterdam, NL","Belgrade, RS",1,0.114100594
FY17-18,0,"Amsterdam, NL","Birmingham, GB",1,0.057455255
FY17-18,0,"Amsterdam, NL","Bologna, IT",1,0.08001353
FY17-18,0,"Amsterdam, NL","Brussels, BE",1,0.020474964
FY17-18,0,"Amsterdam, NL","Cardiff, GB",5,0.228331292
FY17-18,0,"Amsterdam, NL","Chicago, ILLINOIS, US",1,0.675991418
FY17-18,0,"Amsterdam, NL","Dammam, SA",5,2.405095924
FY17-18,0,"Amsterdam, NL","Dar es Salaam, TZ",12,9.011465357
FY17-18,0,"Amsterdam, NL","Detroit, MICHIGAN, US",8,5.172517987
FY17-18,0,"Amsterdam, NL","Dubai, AE",14,7.399409948
FY17-18,0,"Amsterdam, NL","Dublin, IE",12,0.727537654
FY17-18,0,"Amsterdam, NL","Entebbe, UG",21,13.65035782
FY17-18,0,"Amsterdam, NL","Florence, IT",24,2.054591314
FY17-18,0,"Amsterdam, NL","Frankfurt, DE",3,0.142906889
FY17-18,0,"Amsterdam, NL","Helsinki, FI",3,0.369233165
FY17-18,0,"Amsterdam, NL","Hong Kong, HK",1,0.948393601
FY17-18,0,"Amsterdam, NL","Istanbul, TR",2,0.353360563
FY17-18,0,"Amsterdam, NL","Johannesburg, ZA",8,7.376723466
FY17-18,0,"Amsterdam, NL","Kigali, RW",6,3.979998108
FY17-18,0,"Amsterdam, NL","London, GB",10,0.48053486
FY17-18,0,"Amsterdam, NL","Madrid, ES",18,2.124066476
FY17-18,0,"Amsterdam, NL","Minneapolis/St Paul, MINNESOTA, US",2,1.367107157
FY17-18,0,"Amsterdam, NL","Monrovia, LR",12,6.512006818
FY17-18,0,"Amsterdam, NL","Moscow, RU",1,0.173427699
FY17-18,0,"Amsterdam, NL","Nairobi, KE",1,0.682731604
FY17-18,0,"Amsterdam, NL","New York, NEW YORK, US",21,12.55598164
FY17-18,0,"Amsterdam, NL","Norwich, GB",1,0.030921374
FY17-18,0,"Amsterdam, NL","Paris, FR",2,0.103210531
FY17-18,0,"Amsterdam, NL","Stavanger, NO",1,0.059197002
FY17-18,0,"Amsterdam, NL","Toronto, CA",1,0.61237063
FY17-18,0,"Amsterdam, NL","Trondheim, NO",2,0.208685693
FY17-18,0,"Amsterdam, NL","Vancouver, CA",5,3.940543356
FY17-18,0,"Amsterdam, NL","Washington, DISTRICT OF COLUMBIA, US",54,34.27532943
FY17-18,0,"Amsterdam, NL","Zurich, CH",20,0.973172684
FY17-18,0,"Anchorage, ALASKA, US","Barrow, ALASKA, US",3,0.282194058
FY17-18,0,"Anchorage, ALASKA, US","Bethel, ALASKA, US",6,0.309906061
FY17-18,0,"Anchorage, ALASKA, US","Los Angeles, CALIFORNIA, US",3,1.156517418
FY17-18,0,"Anchorage, ALASKA, US","Minneapolis/St Paul, MINNESOTA, US",1,0.413288527
FY17-18,0,"Anchorage, ALASKA, US","Seattle, WASHINGTON, US",10,1.881293718
FY17-18,0,"Antananarivo, MG","Johannesburg, ZA",2,0.345554365
FY17-18,0,"Antananarivo, MG","Nairobi, KE",8,1.461320266
FY17-18,0,"Antananarivo, MG","Paris, FR",10,8.944721068
FY17-18,0,"Asheville/Hendersonville, NORTH CAROLINA, US","Charlotte, NORTH CAROLINA, US",2,0.038024932
FY17-18,0,"Athens, GR","Cairo, EG",3,0.268533211
FY17-18,0,"Athens, GR","Doha, QA",2,0.478519937
FY17-18,0,"Athens, GR","Dubai, AE",1,0.264760216
FY17-18,0,"Athens, GR","Dublin, IE",1,0.2326247
FY17-18,0,"Athens, GR","Istanbul, TR",3,0.134266606
FY17-18,0,"Athens, GR","London, GB",2,0.392651759
FY17-18,0,"Athens, GR","Munich, DE",1,0.122817515
FY17-18,0,"Athens, GR","Newark, NEW JERSEY, US",2,1.62717973
FY17-18,0,"Athens, GR","Philadelphia, PENNSYLVANIA, US",2,1.652825319
FY17-18,0,"Athens, GR","Tel Aviv-Yafo, IL",2,0.193073297
FY17-18,0,"Athens, GR","Zurich, CH",1,0.132575263
FY17-18,0,"Atlanta, GEORGIA, US","Albany, GEORGIA, US",1,0.030294589
FY17-18,0,"Atlanta, GEORGIA, US","Albuquerque, NEW MEXICO, US",2,0.329681762
FY17-18,0,"Atlanta, GEORGIA, US","Allentown/Bethlehem/Easton, PENNSYLVANIA, US",1,0.090031484
FY17-18,0,"Atlanta, GEORGIA, US","Amsterdam, NL",7,5.057606022
FY17-18,0,"Atlanta, GEORGIA, US","Augusta, GEORGIA, US",2,0.059753465
FY17-18,0,"Atlanta, GEORGIA, US","Austin, TEXAS, US",8,0.845151037
FY17-18,0,"Atlanta, GEORGIA, US","Baltimore, MARYLAND, US",421,31.54952984
FY17-18,0,"Atlanta, GEORGIA, US","Baton Rouge, LOUISIANA, US",5,0.291431392
FY17-18,0,"Atlanta, GEORGIA, US","Bermuda, BM",15,2.238427277
FY17-18,0,"Atlanta, GEORGIA, US","Birmingham, ALABAMA, US",12,0.335956546
