fiscalyear,school,traveler_type,total_trips,total_emissions,percapita_trips,percapita_emissions
FY16-17,All Children’s Hospital,Providers,4,0.45825532342,2.323177177107412e-05,8.248486490660154e-06
FY16-17,All Children’s Hospital,Regular,4,0.45825532342,2.323177177107412e-05,8.248486490660154e-06
FY16-17,BOLOGNA CENTER,Sr Staff-Admin,4,0.4380704619,2.323177177107412e-05,7.885163799019602e-06
FY16-17,Bloomberg School of Public Health,Faculty,36,10.56398087431,0.00020908594593966709,0.0001901491353750748
FY16-17,Bloomberg School of Public Health,Sr Staff-Admin,49,4.8039471455400005,0.00028458920419565796,8.64699024903956e-05
FY16-17,Bloomberg School of Public Health,Sr Staff-Non Ad,47,22.10743555559,0.0002729733183101209,0.00039792856559201184
FY16-17,Bloomberg School of Public Health,Staff-Admin,4,1.8082097897399998,2.323177177107412e-05,3.254734481126789e-05
FY16-17,CENTER FOR TALENTED YOUTH,Non-employees,7,1.81613858479,4.0655600599379715e-05,3.269006123051e-05
FY16-17,CENTER FOR TALENTED YOUTH,Sr Staff-Admin,59,24.12487390873,0.00034266863362334327,0.0004342419746265716
FY16-17,CENTER FOR TALENTED YOUTH,Staff-Admin,26,4.63411308157,0.00015100651651198178,8.341292985807435e-05
FY16-17,CGEPI,Deans/Executive,2,0.52178093814,1.161588588553706e-05,9.391932399631198e-06
FY16-17,CGEPI,Sr Staff-Admin,17,8.36716033731,9.873503002706502e-05,0.0001506068898281714
FY16-17,Carey Business School,Faculty,25,9.171556552190001,0.00014519857356921326,0.00016508582978255724
FY16-17,Carey Business School,Graduate Stud,3,1.03443559733,1.742382882830559e-05,1.8619593955516893e-05
FY16-17,Carey Business School,Sr Staff-Admin,6,0.67914574726,3.484765765661118e-05,1.2224461419576638e-05
FY16-17,EMRS PROJECT,Regular,75,6.57435000935,0.0004355957207076398,0.00011833673165492832
FY16-17,HUMAN LANGUAGE TECHNOLOGY COE,Faculty,6,4.029528851959999,3.484765765661118e-05,7.253055796725473e-05
FY16-17,Homewood Student Affairs,Deans/Executive,24,3.47226791671,0.00013939063062644473,6.249999408448794e-05
FY16-17,Homewood Student Affairs,Sr Staff-Admin,27,6.2315248782,0.0001568144594547503,0.00011216596108570605
