fiscalyear,school,from_full,to_full,total_trips,total_emissions
FY17-18,101.0,"Chicago, ILLINOIS, US","Seattle, WASHINGTON, US",2,608.7164563
FY17-18,101.0,"Chicago, ILLINOIS, US","Washington, DISTRICT OF COLUMBIA, US",9,1057.33747725
FY17-18,101.0,"Cincinnati, OHIO, US","Baltimore, MARYLAND, US",3,250.43743236
FY17-18,101.0,"Cleveland, OHIO, US","Baltimore, MARYLAND, US",5,305.2450013
FY17-18,101.0,"Cleveland, OHIO, US","Chicago, ILLINOIS, US",1,73.32321043
FY17-18,101.0,"Columbus, OHIO, US","Baltimore, MARYLAND, US",2,130.6799686
FY17-18,101.0,"Dallas, TEXAS, US","Baltimore, MARYLAND, US",9,1925.56774977
FY17-18,101.0,"Dallas, TEXAS, US","Houston, TEXAS, US",3,174.29287725
FY17-18,101.0,"Dallas, TEXAS, US","Mexico City, MX",1,182.75691131
FY17-18,101.0,"Dallas, TEXAS, US","Philadelphia, PENNSYLVANIA, US",1,229.79444253
FY17-18,101.0,"Dallas, TEXAS, US","San Francisco, CALIFORNIA, US",1,258.45240996
FY17-18,101.0,"Dallas, TEXAS, US","Waco, TEXAS, US",2,42.79190642
FY17-18,101.0,"Dallas, TEXAS, US","Washington, DISTRICT OF COLUMBIA, US",2,420.67065768
FY17-18,101.0,"Dammam, SA","Dubai, AE",1,69.24087888
FY17-18,101.0,"Delhi, IN","Hong Kong, HK",6,2468.83082364
FY17-18,101.0,"Delhi, IN","Jaipur, IN",4,137.51107004
FY17-18,101.0,"Denver, COLORADO, US","Albuquerque, NEW MEXICO, US",1,68.07061051
FY17-18,101.0,"Denver, COLORADO, US","Baltimore, MARYLAND, US",7,1840.1245505299999
FY17-18,101.0,"Denver, COLORADO, US","Chicago, ILLINOIS, US",1,172.61458539
FY17-18,101.0,"Denver, COLORADO, US","San Francisco, CALIFORNIA, US",5,941.09081865
FY17-18,101.0,"Denver, COLORADO, US","Tokyo, JP",1,1020.71896334
FY17-18,101.0,"Detroit, MICHIGAN, US","Baltimore, MARYLAND, US",6,476.29922885999997
FY17-18,101.0,"Detroit, MICHIGAN, US","Madison, WISCONSIN, US",4,298.10092108
FY17-18,101.0,"Detroit, MICHIGAN, US","San Francisco, CALIFORNIA, US",2,733.43168492
FY17-18,101.0,"Dubai, AE","Dammam, SA",1,69.24087888
FY17-18,101.0,"Dubai, AE","Washington, DISTRICT OF COLUMBIA, US",1,1247.15228623
FY17-18,101.0,"Dublin, IE","Athens, GR",1,315.76834481
FY17-18,101.0,"Durango, COLORADO, US","Phoenix, ARIZONA, US",1,68.46069997
FY17-18,101.0,"Fort Lauderdale, FLORIDA, US","Baltimore, MARYLAND, US",8,1444.89135432
FY17-18,101.0,"Fort Lauderdale, FLORIDA, US","Orlando, FLORIDA, US",1,42.55150244
FY17-18,101.0,"Fort Myers, FLORIDA, US","Baltimore, MARYLAND, US",5,897.20575455
FY17-18,101.0,"Frankfurt, DE","Bucharest, RO",1,175.54025633
FY17-18,101.0,"Frankfurt, DE","Tel Aviv-Yafo, IL",2,648.51918884
FY17-18,101.0,"Frankfurt, DE","Washington, DISTRICT OF COLUMBIA, US",3,2158.36950984
FY17-18,101.0,"Gaborone, BW","Johannesburg, ZA",2,87.02623664
FY17-18,101.0,"Geneva, CH","London, GB",8,730.24746632
FY17-18,101.0,"Guanacaste, CR","Baltimore, MARYLAND, US",1,362.11641559
FY17-18,101.0,"Halifax, CA","Toronto, CA",1,155.84073867
FY17-18,101.0,"Harrisburg, PENNSYLVANIA, US","Washington, DISTRICT OF COLUMBIA, US",1,22.35756908
FY17-18,101.0,"Hartford, CONNECTICUT, US","Baltimore, MARYLAND, US",4,271.1756766
FY17-18,101.0,"Hilo, HAWAII, US","Honolulu, HAWAII, US",1,51.92725722
FY17-18,101.0,"Hong Kong, HK","Beijing, CN",5,1093.2483871
FY17-18,101.0,"Hong Kong, HK","Chicago, ILLINOIS, US",5,6877.0276776
FY17-18,101.0,"Hong Kong, HK","Nanjing, CN",7,980.2948091999999
FY17-18,101.0,"Hong Kong, HK","New York, NEW YORK, US",3,4273.75206852
FY17-18,101.0,"Hong Kong, HK","Newark, NEW JERSEY, US",3,4270.56784992
FY17-18,101.0,"Hong Kong, HK","Seoul, KR",1,227.31782806
FY17-18,101.0,"Hong Kong, HK","Shanghai, CN",6,911.63906454
FY17-18,101.0,"Hong Kong, HK","Singapore, SG",2,563.25289068
FY17-18,101.0,"Hong Kong, HK","Toronto, CA",1,1378.23595206
FY17-18,101.0,"Honolulu, HAWAII, US","Hilo, HAWAII, US",1,51.92725722
FY17-18,101.0,"Honolulu, HAWAII, US","Los Angeles, CALIFORNIA, US",1,451.09763545
FY17-18,101.0,"Honolulu, HAWAII, US","San Francisco, CALIFORNIA, US",1,423.32417318
FY17-18,101.0,"Houston, TEXAS, US","Baltimore, MARYLAND, US",6,1319.3279079
FY17-18,101.0,"Houston, TEXAS, US","Dallas, TEXAS, US",1,57.4565485
FY17-18,101.0,"Houston, TEXAS, US","Guanacaste, CR",1,257.74480582
FY17-18,101.0,"Houston, TEXAS, US","Las Vegas, NEVADA, US",1,215.46545881
FY17-18,101.0,"Houston, TEXAS, US","Nashville, TENNESSEE, US",1,130.48492387
FY17-18,101.0,"Houston, TEXAS, US","Phoenix, ARIZONA, US",1,179.90835108
FY17-18,101.0,"Houston, TEXAS, US","San Francisco, CALIFORNIA, US",1,288.70248668
FY17-18,101.0,"Houston, TEXAS, US","Seattle, WASHINGTON, US",1,330.98183369
FY17-18,101.0,"Houston, TEXAS, US","Toronto, CA",2,452.51284372
FY17-18,101.0,"Indianapolis, INDIANA, US","Atlanta, GEORGIA, US",1,84.25932304
FY17-18,101.0,"Indianapolis, INDIANA, US","Baltimore, MARYLAND, US",3,300.75897252
FY17-18,101.0,"Islip, NEW YORK, US","Baltimore, MARYLAND, US",5,263.24234565
FY17-18,101.0,"Ithaca, NEW YORK, US","Philadelphia, PENNSYLVANIA, US",1,45.91715801
FY17-18,101.0,"Jacksonville, FLORIDA, US","Baltimore, MARYLAND, US",1,129.31465549
FY17-18,101.0,"Jaipur, IN","Mumbai, IN",4,440.80108812
FY17-18,101.0,"Johannesburg, ZA","Walvis Bay, NA",2,343.66881294
FY17-18,101.0,"Johannesburg, ZA","Washington, DISTRICT OF COLUMBIA, US",2,2876.7646069
FY17-18,101.0,"Kansas City, MISSOURI, US","Baltimore, MARYLAND, US",5,939.14037135
FY17-18,101.0,"Las Vegas, NEVADA, US","Baltimore, MARYLAND, US",6,2227.89161598
FY17-18,101.0,"Las Vegas, NEVADA, US","Chicago, ILLINOIS, US",1,266.94365956
FY17-18,101.0,"Las Vegas, NEVADA, US","Pittsburgh, PENNSYLVANIA, US",1,336.8195678
FY17-18,101.0,"Las Vegas, NEVADA, US","San Francisco, CALIFORNIA, US",1,80.55347318
FY17-18,101.0,"Las Vegas, NEVADA, US","San Jose, CALIFORNIA, US",1,75.09222076
FY17-18,101.0,"Lexington, KENTUCKY, US","Philadelphia, PENNSYLVANIA, US",1,101.03316975
FY17-18,101.0,"Lima, PE","Miami, FLORIDA, US",1,463.30380676
FY17-18,101.0,"Lisbon, PT","Geneva, CH",4,724.006035
FY17-18,101.0,"London, GB","Amsterdam, NL",4,220.21003524
FY17-18,101.0,"London, GB","Baltimore, MARYLAND, US",9,5766.619890329999
FY17-18,101.0,"London, GB","Toronto, CA",1,626.76036172
FY17-18,101.0,"London, GB","Washington, DISTRICT OF COLUMBIA, US",7,4537.157707390001
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Atlanta, GEORGIA, US",2,686.37601002
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Baltimore, MARYLAND, US",9,3696.8777982899996
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Denver, COLORADO, US",1,167.73846716
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Honolulu, HAWAII, US",1,451.09763545
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Las Vegas, NEVADA, US",1,47.11917785
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","London, GB",1,961.98782022
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","Minneapolis/St Paul, MINNESOTA, US",1,271.01238333
FY17-18,101.0,"Los Angeles, CALIFORNIA, US","San Jose, CALIFORNIA, US",1,73.80401836
FY17-18,101.0,"Madison, WISCONSIN, US","Atlanta, GEORGIA, US",1,137.89662358
FY17-18,101.0,"Madison, WISCONSIN, US","Chicago, ILLINOIS, US",1,25.96362861
FY17-18,101.0,"Madison, WISCONSIN, US","Detroit, MICHIGAN, US",3,223.57569080999997
FY17-18,101.0,"Madison, WISCONSIN, US","Minneapolis/St Paul, MINNESOTA, US",1,54.57170088
FY17-18,101.0,"Manchester, NEW HAMPSHIRE, US","Baltimore, MARYLAND, US",5,366.68409099999997
FY17-18,101.0,"Marrakech, MA","Paris, FR",1,233.68626526
FY17-18,101.0,"Medellin, CO","Cartagena, CO",1,70.91917074
FY17-18,101.0,"Mexico City, MX","Atlanta, GEORGIA, US",1,235.27837457
FY17-18,101.0,"Mexico City, MX","Dallas, TEXAS, US",2,365.51382262
FY17-18,101.0,"Mexico City, MX","Washington, DISTRICT OF COLUMBIA, US",1,329.74352646
FY17-18,101.0,"Miami, FLORIDA, US","Baltimore, MARYLAND, US",6,1108.2441516
FY17-18,101.0,"Miami, FLORIDA, US","Bogota, CO",1,267.29746163
FY17-18,101.0,"Miami, FLORIDA, US","Lima, PE",1,463.30380676
FY17-18,101.0,"Miami, FLORIDA, US","Medellin, CO",2,492.49247728
FY17-18,101.0,"Miami, FLORIDA, US","Rio de Janeiro, BR",2,1475.70842152
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","Baltimore, MARYLAND, US",10,1819.7673239
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","Phoenix, ARIZONA, US",1,225.19501566
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","San Francisco, CALIFORNIA, US",5,1401.94069055
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","San Jose, CALIFORNIA, US",1,277.91152364
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","Seattle, WASHINGTON, US",2,492.84627936
FY17-18,101.0,"Minneapolis/St Paul, MINNESOTA, US","St Louis, MISSOURI, US",1,87.38003871
FY17-18,101.0,"Montgomery, ALABAMA, US","Atlanta, GEORGIA, US",1,35.09897942
FY17-18,101.0,"Montreal, CA","Rome, IT",2,1446.34284996
FY17-18,101.0,"Montreal, CA","Washington, DISTRICT OF COLUMBIA, US",2,190.36365576
FY17-18,101.0,"Mumbai, IN","Delhi, IN",6,826.2094731
FY17-18,101.0,"Munich, DE","Washington, DISTRICT OF COLUMBIA, US",2,1503.30498276
FY17-18,101.0,"Nanjing, CN","Beijing, CN",4,459.52538212
FY17-18,101.0,"Nanjing, CN","Seoul, KR",1,113.90612188
FY17-18,101.0,"Nantucket, MASSACHUSETTS, US","Boston, MASSACHUSETTS, US",2,43.27271436
FY17-18,101.0,"Nashville, TENNESSEE, US","Baltimore, MARYLAND, US",3,342.30349983
FY17-18,101.0,"Nashville, TENNESSEE, US","Charlotte, NORTH CAROLINA, US",1,63.77962647
FY17-18,101.0,"New Orleans, LOUISIANA, US","Baltimore, MARYLAND, US",13,2292.8142953300003
FY17-18,101.0,"New Orleans, LOUISIANA, US","Washington, DISTRICT OF COLUMBIA, US",1,188.80329792
FY17-18,101.0,"New York, NEW YORK, US","Athens, GR",1,871.23759003
FY17-18,101.0,"New York, NEW YORK, US","Boston, MASSACHUSETTS, US",2,88.46866044
FY17-18,101.0,"New York, NEW YORK, US","Hong Kong, HK",1,1424.58402284
FY17-18,101.0,"New York, NEW YORK, US","Los Angeles, CALIFORNIA, US",1,436.41484966
FY17-18,101.0,"New York, NEW YORK, US","Paris, FR",1,640.73554337
FY17-18,101.0,"New York, NEW YORK, US","San Francisco, CALIFORNIA, US",1,456.05086438
FY17-18,101.0,"New York, NEW YORK, US","Savannah, GEORGIA, US",1,139.84707087
FY17-18,101.0,"New York, NEW YORK, US","Toronto, CA",3,209.67308394
FY17-18,101.0,"New York, NEW YORK, US","Washington, DISTRICT OF COLUMBIA, US",2,102.41209063
FY17-18,101.0,"Newark, NEW JERSEY, US","Athens, GR",1,873.89110553
FY17-18,101.0,"Newark, NEW JERSEY, US","Atlanta, GEORGIA, US",1,145.11327856
FY17-18,101.0,"Newark, NEW JERSEY, US","Hong Kong, HK",7,9964.65831648
FY17-18,101.0,"Newark, NEW JERSEY, US","San Francisco, CALIFORNIA, US",2,905.02568742
FY17-18,101.0,"Oakland, CALIFORNIA, US","Baltimore, MARYLAND, US",3,1294.38486219
FY17-18,101.0,"Oakland, CALIFORNIA, US","Phoenix, ARIZONA, US",1,125.60880564
FY17-18,101.0,"Oakland, CALIFORNIA, US","Portland, OREGON, US",1,105.90928798
FY17-18,101.0,"Oakland, CALIFORNIA, US","San Diego, CALIFORNIA, US",1,86.98994925
FY17-18,101.0,"Orlando, FLORIDA, US","Baltimore, MARYLAND, US",9,1381.50181728
FY17-18,101.0,"Panama City, PA","Cali, CO",1,84.45436777
FY17-18,101.0,"Panama City, PA","Washington, DISTRICT OF COLUMBIA, US",1,365.47753523
FY17-18,101.0,"Paris, FR","Detroit, MICHIGAN, US",1,698.40528029
FY17-18,101.0,"Paris, FR","Marrakech, MA",1,233.68626526
FY17-18,101.0,"Paris, FR","Washington, DISTRICT OF COLUMBIA, US",3,2042.14553082
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Athens, GR",1,887.86628718
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Baltimore, MARYLAND, US",4,85.58381284
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Bermuda, BM",2,305.440046
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Boston, MASSACHUSETTS, US",2,134.14541448
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Burlington, VERMONT, US",2,130.6799686
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Chicago, ILLINOIS, US",6,789.9311534999999
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Dallas, TEXAS, US",1,229.79444253
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Ithaca, NEW YORK, US",1,45.91715801
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Lexington, KENTUCKY, US",1,101.03316975
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Tampa, FLORIDA, US",2,358.88230182
FY17-18,101.0,"Philadelphia, PENNSYLVANIA, US","Washington, DISTRICT OF COLUMBIA, US",1,28.3676683
FY17-18,101.0,"Phoenix, ARIZONA, US","Baltimore, MARYLAND, US",14,4935.89263692
FY17-18,101.0,"Phoenix, ARIZONA, US","Durango, COLORADO, US",1,68.46069997
FY17-18,101.0,"Phoenix, ARIZONA, US","Los Angeles, CALIFORNIA, US",1,62.99944755
FY17-18,101.0,"Phoenix, ARIZONA, US","Salt Lake City, UTAH, US",1,98.88767773
FY17-18,101.0,"Phoenix, ARIZONA, US","San Jose, CALIFORNIA, US",2,241.85546428
FY17-18,101.0,"Phoenix, ARIZONA, US","Santa Ana, CALIFORNIA, US",1,65.73007376
FY17-18,101.0,"Phoenix, ARIZONA, US","St Louis, MISSOURI, US",1,222.54150015
